nombre,dolar,dolar_mercado_cap,dolar_24h_vol,dolar_24h_cambio,euro,euro_mercado_cap,euro_24h_vol,euro_24h_cambio,ultima_actualizacion
binancecoin,216.9,33379462896.337124,405227341.66537935,-0.1713909998962019,201.2,30962723023.716602,375888071.67412305,0.6061500140459358,1692936257.0
bitcoin,26089.0,507967904198.5206,11961675357.03269,-1.253394645121072,24200.0,471190011998.74054,11095626137.832825,-0.48428109721144164,1692936250.0
cardano,0.263153,9219378519.96606,209016216.77646315,-2.051789691629201,0.2441,8551877076.363497,193883024.64941394,-1.2888946506205923,1692936253.0
dogecoin,0.062408,8782668920.984339,236394877.49731147,-2.283105564540069,0.057889,8146786125.767251,219279415.5767514,-1.522012187204497,1692936254.0
ethereum,1654.69,198959954147.18427,6979658107.315101,-1.2208406877831577,1534.88,184554855547.02026,6474316901.029282,-0.45147358493320333,1692936253.0
ripple,0.517376,27364875013.16149,792365710.9345009,-2.05650759651655,0.479917,25383603332.4586,734996848.7314222,-1.2936493021338442,1692936251.0
solana,20.72,8452559486.992649,332809297.4395274,-4.766905397772817,19.22,7840577275.015417,308713238.6863112,-4.025157739666481,1692936252.0
staked-ether,1654.37,13846648028.061514,9117708.88282694,-1.1872892483924344,1534.59,12844123017.533815,8457568.524292516,-0.4176608214544953,1692936252.0
tether,0.999872,82838515020.56123,10327613391.976206,0.031653133390351924,0.927401,76834379451.87094,9579067973.325768,0.8132514723345641,1692936001.0
usd-coin,0.99993,25882048040.7006,3830106967.160926,0.018875923301750003,0.927533,24008135998.45782,3552799562.524545,0.7978988805248894,1692936254.0
